"YearsExperience","Age","EducationLevel","CityTier","SkillScore","Salary"
"0.4","21","High School","Tier1","48","37300"
"0.5","22","Bachelor","Tier1","50","45000"
"0.6","23","Bachelor","Tier1","51","45900"
"0.8","22","Bachelor","Tier1","52","47100"
"0.9","23","High School","Tier1","53","41500"
"1","24","Bachelor","Tier2","55","46100"
"1.1","22","Bachelor","Tier2","56","45300"
"1.2","23","Bachelor","Tier2","50","44400"
"1.4","24","High School","Tier3","51","36600"
"1.5","23","Bachelor","Tier3","53","44200"
"1.6","24","Bachelor","Tier1","54","50600"
"1.7","25","Bachelor","Tier1","55","51500"
"1.8","23","High School","Tier1","56","44200"
"2","24","Bachelor","Tier1","58","52200"
"2.1","25","Bachelor","Tier1","52","51200"
"2.2","23","Master","Tier2","55","55600"
"2.3","25","Bachelor","Tier2","54","50000"
"2.4","26","Bachelor","Tier2","56","51100"
"2.6","24","Bachelor","Tier3","57","48200"
"2.7","25","Bachelor","Tier3","58","49000"
"2.8","26","Master","Tier1","61","61900"
"2.9","24","Bachelor","Tier1","54","54700"
"3","26","Bachelor","Tier1","55","55600"
"3.2","27","Bachelor","Tier1","56","56800"
"3.3","25","Bachelor","Tier1","57","56000"
"3.4","26","Master","Tier2","61","60700"
"3.5","27","Bachelor","Tier2","60","55100"
"3.6","25","Bachelor","Tier2","61","55900"
"3.8","27","Bachelor","Tier3","55","52800"
"3.9","28","Bachelor","Tier3","57","54000"
"4","26","Master","Tier1","60","65200"
"4.1","27","Bachelor","Tier1","59","59600"
"4.2","28","Bachelor","Tier1","60","60400"
"4.4","26","Bachelor","Tier1","62","61900"
"4.5","28","Bachelor","Tier1","63","62800"
"4.6","29","Master","Tier2","59","65400"
"4.7","27","Bachelor","Tier2","58","58100"
"4.8","28","Bachelor","Tier2","60","59200"
"5","29","Bachelor","Tier3","61","57900"
"5.1","27","Bachelor","Tier3","62","58800"
"5.2","29","Master","Tier1","65","71700"
"5.3","30","Bachelor","Tier1","65","66300"
"5.4","28","Bachelor","Tier1","59","63700"
"5.6","29","Bachelor","Tier1","60","64900"
"5.7","30","Bachelor","Tier1","61","65800"
"5.8","28","Master","Tier2","65","70500"
"5.9","29","Bachelor","Tier2","64","64800"
"6","31","Bachelor","Tier2","65","65700"
"6.2","29","Bachelor","Tier3","67","63000"
"6.3","30","Bachelor","Tier3","61","62100"
"6.4","31","Master","Tier1","64","75000"
"6.5","29","Bachelor","Tier1","63","69300"
"6.6","30","Bachelor","Tier1","64","70200"
"6.8","32","Bachelor","Tier1","66","71700"
"6.9","30","Bachelor","Tier1","67","70900"
"7","31","Master","Tier2","70","75300"
"7.1","32","Master","Tier2","64","74300"
"7.2","30","PhD","Tier2","68","82500"
"7.4","31","Master","Tier3","67","74200"
"7.5","33","Master","Tier3","68","75100"
"7.6","31","PhD","Tier1","71","86800"
"7.7","32","Master","Tier1","71","80900"
"7.8","33","Master","Tier1","72","81800"
"8","31","PhD","Tier1","68","88200"
"8.1","32","Master","Tier1","68","82300"
"8.2","34","Master","Tier2","69","80200"
"8.3","32","PhD","Tier2","72","86400"
"8.4","33","Master","Tier2","71","80300"
"8.6","34","Master","Tier3","73","79300"
"8.7","32","PhD","Tier3","76","87200"
"8.8","33","Master","Tier1","68","84700"
"8.9","35","Master","Tier1","69","85600"
"9","33","PhD","Tier1","72","91800"
"9.2","34","Master","Tier1","72","86300"
"9.3","35","Master","Tier1","73","87200"
"9.4","33","PhD","Tier2","76","92100"
"9.5","34","Master","Tier2","75","85900"
"9.6","35","Master","Tier2","70","85200"
"9.8","34","PhD","Tier3","73","89300"
"9.9","35","Master","Tier3","72","83200"
"10","36","Master","Tier1","74","89800"
"10.1","34","PhD","Tier1","77","97700"
"10.2","35","Master","Tier1","76","91600"
"10.4","37","Master","Tier1","77","92800"
"10.5","35","PhD","Tier1","74","97400"
"10.6","36","Master","Tier2","73","88300"
"10.7","37","Master","Tier2","74","89200"
"10.8","35","PhD","Tier2","77","97100"
"11","36","Master","Tier3","77","89000"
"11.1","37","Master","Tier3","78","89900"
"11.2","36","PhD","Tier1","81","101600"
"11.3","37","Master","Tier1","73","93700"
"11.4","38","Master","Tier1","74","94600"
"11.6","36","PhD","Tier1","78","103100"
"11.7","37","Master","Tier1","77","96900"
"11.8","38","Master","Tier2","78","94800"
"11.9","37","PhD","Tier2","81","101000"
"12","38","Master","Tier2","81","95100"
"12.2","39","Master","Tier3","75","92000"
"12.3","37","PhD","Tier3","78","99900"
"12.4","38","Master","Tier1","78","99600"
"12.5","39","Master","Tier1","79","100400"
"12.6","38","PhD","Tier1","82","106700"
"12.8","39","Master","Tier1","81","100900"
"12.9","40","Master","Tier1","83","102000"
"13","38","Master","Tier2","77","98100"
"13.1","39","PhD","Tier2","80","106000"
"13.2","40","Master","Tier2","79","99800"
"13.4","39","PhD","Tier3","83","104100"
"13.5","40","Master","Tier3","82","98000"
"13.6","41","PhD","Tier1","85","111400"
"13.7","39","Master","Tier1","84","105300"
"13.8","40","PhD","Tier1","80","111300"
"14","41","Master","Tier1","80","105800"
"14.1","40","PhD","Tier1","83","112000"
"14.2","41","Master","Tier2","82","102900"
"14.3","42","PhD","Tier2","86","111000"
"14.4","40","Master","Tier2","85","104900"
"14.6","41","PhD","Tier3","88","110600"
"14.7","42","Master","Tier3","80","102700"
"14.8","40","PhD","Tier1","84","114700"
"14.9","42","Master","Tier1","83","108500"
"15","43","PhD","Tier1","86","116400"
"15.2","41","Master","Tier1","85","110600"
"15.3","42","PhD","Tier1","89","118800"
"15.4","43","Master","Tier2","88","109600"
"15.5","41","PhD","Tier2","84","114000"
"15.6","43","Master","Tier2","83","107900"
"15.8","44","PhD","Tier3","87","113900"
"15.9","42","Master","Tier3","86","107800"
"16","43","PhD","Tier1","89","121200"
"16.1","44","Master","Tier1","88","115000"
"16.2","42","PhD","Tier1","92","121500"
"16.4","44","Master","Tier1","84","113900"
"16.5","45","PhD","Tier1","87","121800"
"16.6","43","Master","Tier2","86","112600"
"16.7","44","PhD","Tier2","90","120800"
"16.8","45","Master","Tier2","89","114700"
"17","43","PhD","Tier3","92","118700"
"17.1","45","Master","Tier3","91","112600"
"17.2","46","PhD","Tier1","88","124400"
"17.3","44","Master","Tier1","87","118300"
"17.4","45","PhD","Tier1","90","126200"
"17.6","46","Master","Tier1","89","120400"
"17.7","44","PhD","Tier1","93","126900"
"17.8","46","Master","Tier2","92","117700"
"17.9","47","PhD","Tier2","95","125600"
"18","45","Master","Tier2","87","117700"
"18.2","46","PhD","Tier3","91","123700"
"18.3","47","Master","Tier3","90","117500"
"18.4","45","PhD","Tier1","93","129200"
"18.5","46","Master","Tier1","92","123100"
"18.6","48","PhD","Tier1","96","131300"
"18.8","46","Master","Tier1","95","125500"
"18.9","47","PhD","Tier1","91","131500"
"19","48","Master","Tier2","90","122400"
"19.1","46","PhD","Tier2","94","128900"
"19.2","47","Master","Tier2","93","122700"
"19.4","49","PhD","Tier3","96","128500"
"19.5","47","Master","Tier3","95","122300"
